product_id,メーカー,ブランド名,アイテムカテゴリ,ベストコスメ,ランキングIN
10201237,CURLY SHYLL,CURLY SHYLL,ヘアケア・スタイリング > スペシャルヘアケア > アウトバストリートメント,,
10202747,NATURE REPUBLIC,ネイチャーリパブリック,スキンケア・基礎化粧品 > 乳液・美容液など > フェイスクリーム,,
10224925,CLIO COSMETICS,goodal（海外）,スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
10248298,VT COSMETICS,VT(ブイティー),スキンケア・基礎化粧品 > 乳液・美容液など > フェイスクリーム > スキンケア・基礎化粧品 > 乳液・美容液など > 美容液 > スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10232220,OU INTERNATIONAL,One-day's you(ワンデイズユー),スキンケア・基礎化粧品 > 化粧水 > 化粧水,,
10194291,セキド,MEDIHEAL(メディヒール),スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10237312,"ZENKOSMETIKOS Co., Ltd.",SIORIS,スキンケア・基礎化粧品 > 化粧水 > 化粧水 > スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
10250343,イズエンツリー,ISNTREE,スキンケア・基礎化粧品 > 乳液・美容液など > フェイスクリーム,,
10256988,LG Household&Health Care Ltd.(海外),VDL,ベースメイク > 化粧下地・コンシーラー > 化粧下地,,
10224352,CJ OLIVE YOUNG,WAKEMAKE,メイクアップ > チーク > パウダーチーク > メイクアップ > アイシャドウ > パウダーアイシャドウ > コフレ・キット・セット > メイクアップキット・パレット,,
10222819,マックプランニング,ホリカホリカ,メイクアップ > アイシャドウ > ジェル・クリームアイシャドウ,,
10239615,DM＆C,BLACK ROUGE,メイクアップ > 口紅・グロス・リップライナー > 口紅,,
10216639,アモーレパシフィックジャパン,イニスフリー,スキンケア・基礎化粧品 > 乳液・美容液など > 乳液,,
10176588,"NORD MASON CO., LTD",Huxley,スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
10240436,JPPROFESSIONAL,La'dor,ヘアケア・スタイリング > ヘアスタイリング > その他ヘアスタイリング > ヘアケア・スタイリング > スペシャルヘアケア > アウトバストリートメント,,
10250542,Esther Formula,Esther Formula,サプリメント・フード > サプリメント > 健康サプリメント,,
10197690,ILSeong,VANCOR(バンコル),スキンケア・基礎化粧品 > パック・フェイスマスク > ゴマージュ・ピーリング,,
10210993,ONE THING（韓国）,ONE THING（韓国）,スキンケア・基礎化粧品 > 乳液・美容液など > フェイスクリーム,,
10216575,アモーレパシフィック(海外),espoir,メイクアップ > アイシャドウ > パウダーアイシャドウ,,
10034904,アモーレパシフィック(海外),ミジャンセン,ヘアケア・スタイリング > シャンプー・コンディショナー > ヘアパック・トリートメント,,
10226267,Firstcanvas,Flynn,メイクアップ > 口紅・グロス・リップライナー > 口紅,,
10193054,BUGUN COSMETIC,VELY VELY,ベースメイク > ファンデーション > リキッドファンデーション > ベースメイク > ファンデーション > その他ファンデーション,,
10223473,DEWYTREE,DEWYTREE,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
2926172,CMS LAB,Cell Fusion C,ベースメイク > ファンデーション > クリーム・ジェルファンデーション,,
10247340,GPClub,L'ODEURLETTE,ボディケア・オーラルケア > スペシャルボディケア・パーツ > ハンドクリーム・ケア,,
10208849,ミシャ ジャパン,A’pieu（アピュー）,スキンケア・基礎化粧品 > 乳液・美容液など > フェイスクリーム > スキンケア・基礎化粧品 > パック・フェイスマスク > 洗い流すパック・マスク,,
10165314,CLIO COSMETICS,CLIO,メイクアップ > 口紅・グロス・リップライナー > 口紅,,
10202214,フォーカンパニー,ネーミング,メイクアップ > 口紅・グロス・リップライナー > 口紅,,
10118573,アモーレパシフィックジャパン,エチュード,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10213092,DYD,Lilybyred,メイクアップ > アイシャドウ > パウダーアイシャドウ,,
10177536,ウィッシュカンパニー,"クレアス(Dear,Klairs)",スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10265851,Genalab,Genabelle,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10238336,GENIE C&C,Bamboni,スキンケア・基礎化粧品 > 洗顔料 > 洗顔フォーム > コフレ・キット・セット > スキンケアキット,,
10248394,Graceclub,コスノリ,メイクアップ > 口紅・グロス・リップライナー > 口紅 > メイクアップ > 口紅・グロス・リップライナー > リップグロス,,
10268209,アダプト,FOODOLOGY,サプリメント・フード > フード > 食品,,
10246902,アモーレパシフィック(海外),espoir,メイクアップ > 口紅・グロス・リップライナー > リップグロス,,
10193979,ONE THING（韓国）,ONE THING（韓国）,スキンケア・基礎化粧品 > 化粧水 > 化粧水,,
10262111,DEWYTREE,DEWYTREE,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10221286,Dermabqcell,BQCELL,ベースメイク > 化粧下地・コンシーラー > 化粧下地,,
10247345,GPClub,L'ODEURLETTE,ボディケア・オーラルケア > スペシャルボディケア・パーツ > ハンドクリーム・ケア,,
10252959,同和製薬,MagLAB,サプリメント・フード > サプリメント > 健康サプリメント > サプリメント・フード > フード > ドリンク,,
10264611,WFROM,RETURNU リターニュ,スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
10216292,Enhance B,Ocalm（オカム）,スキンケア・基礎化粧品 > 化粧水 > 化粧水,,
10202910,TIRTIR,TIRTIR,スキンケア・基礎化粧品 > クレンジング > その他クレンジング,,
10176716,NeoSTARGATE,APRILSKIN,ベースメイク > ファンデーション > リキッドファンデーション > ベースメイク > ファンデーション > その他ファンデーション,,
10169258,TEIYO,Ampulogy,スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
10162574,アスリーエイチ,Witch's Pouch(ウィッチズポーチ),メイクアップ > 口紅・グロス・リップライナー > 口紅,,
10118622,アモーレパシフィックジャパン,エチュード,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10116032,フードコスメ,SKINFOOD(スキンフード),ボディケア・オーラルケア > デイリーボディケア > ボディローション・ミルク,,
10114606,アモーレパシフィックジャパン,エチュード,スキンケア・基礎化粧品 > クレンジング > ポイントメイクリムーバー,,
10094762,SECRET KEY(韓国),SECRET KEY(韓国),スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
10085416,アスリーエイチ,Witch's Pouch(ウィッチズポーチ),メイクアップ > チーク > パウダーチーク,,
10085412,アスリーエイチ,Witch's Pouch(ウィッチズポーチ),メイクアップ > 口紅・グロス・リップライナー > 口紅,,
10078303,トゥークールフォースクール,too cool for school,ベースメイク > 化粧下地・コンシーラー > 化粧下地 > 日焼け対策・UVケア > 日焼け止め・UVケア(顔用),,
10047639,LG生活健康,su:m37°(海外),ベースメイク > ファンデーション > その他ファンデーション,,
10016693,TONYMOLY,TONYMOLY,スキンケア・基礎化粧品 > 目元・口元スペシャルケア > アイケア・アイクリーム,,
10001526,TONYMOLY,TONYMOLY,スキンケア・基礎化粧品 > パック・フェイスマスク > 洗い流すパック・マスク,,
2948172,アモーレパシフィック(海外),ARITAUM,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
2944337,DERMAL KOREA,DERMAL,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
2935055,HANBANG化粧品,ダナハン,スキンケア・基礎化粧品 > 洗顔料 > 洗顔フォーム,,
2927606,It’s skin(韓国),It’s skin(韓国),ベースメイク > 化粧下地・コンシーラー > 化粧下地 > ベースメイク > ファンデーション > クリーム・ジェルファンデーション > 日焼け対策・UVケア > 日焼け止め・UVケア(顔用),,
2926674,スティラ コスメティックス,スティラ,メイクアップ > アイシャドウ > パウダーアイシャドウ,,
2924289,DERMAL KOREA,DERMAL,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
2918720,ザ・フェイスショップ,ザ・フェイスショップ,スキンケア・基礎化粧品 > 洗顔料 > 洗顔石鹸 > ボディケア・オーラルケア > デイリーボディケア > ボディ石鹸,,
2918062,ザ・フェイスショップ,ザ・フェイスショップ,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
2902302,アモーレパシフィック(海外),IOPE(海外),スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
